MAE,RMSE,MAPE,R2,MSE,Model,Horizon
2.5629292,4.0735097,1.3837746,0.991443,16.593481,lstm,6
2.4603,4.012603,1.281184,0.991703,16.100983,lstm,12
3.4588084,5.3893633,1.8236479,0.9850544,29.045237,lstm,24
4.380435,7.167646,2.2051187,0.9736421,51.375145,lstm,48
6.337383,9.661559,3.118836,0.9524312,93.345726,lstm,96
8.461778,12.100695,4.148785,0.9260912,146.42682,lstm,168
3.1694295,4.7843213,1.688295,0.98819613,22.889729,patchtst,6
2.9263763,4.621401,1.5430188,0.9889943,21.357346,patchtst,12
3.5564904,5.4649653,1.7876569,0.98463213,29.865849,patchtst,24
4.970266,7.312823,2.462955,0.97256356,53.47738,patchtst,48
7.656674,11.019746,3.7458644,0.9381171,121.43481,patchtst,96
9.802277,13.85127,4.802487,0.90316,191.85768,patchtst,168
6.335792,7.229415,2.8623211,0.97304803,52.264442,transformer,6
3.3593028,4.57161,1.6197048,0.98923016,20.899618,transformer,12
3.8162212,5.9483647,1.8448569,0.98179317,35.38304,transformer,24
5.48668,8.2806,2.6410704,0.96482116,68.56834,transformer,48
8.196583,12.094912,4.0259523,0.9254525,146.2869,transformer,96
10.554116,14.622263,5.1293273,0.8920793,213.81058,transformer,168
