Actual,Predicted
220.00002,219.42676
220.0,212.74028
195.8,209.08263
209.0,208.7782
196.40001,208.31793
196.40001,209.52786
207.79999,210.58401
200.8,210.9907
218.0,209.75784
218.0,207.52954
217.0,206.04579
216.0,204.24503
216.0,204.01062
217.00002,205.83641
218.0,209.23969
218.0,212.52463
219.0,217.30867
220.0,219.92314
220.0,222.21913
221.00002,224.67065
222.0,225.562
223.0,227.2146
223.0,227.05542
224.0,226.90274
220.0,213.61319
195.8,207.27559
209.0,205.73956
196.40001,205.01865
196.40001,206.09024
207.79999,207.84654
200.8,210.12437
218.0,210.39175
218.0,209.27737
217.0,207.83691
216.0,206.45598
216.0,206.06325
217.00002,206.77963
218.0,209.61345
218.0,212.65314
219.0,216.32918
220.0,219.8646
220.0,221.87218
221.00002,223.94803
222.0,225.22392
223.0,226.04808
223.0,226.81126
224.0,226.7009
224.0,225.8596
195.8,202.3968
209.0,204.30838
196.40001,202.79259
196.40001,204.8978
207.79999,206.18694
200.8,209.07343
218.0,210.72716
218.0,210.39209
217.0,209.4552
216.0,208.37973
216.0,207.77678
217.00002,209.05072
218.0,210.8055
218.0,213.22162
219.0,216.2165
220.0,218.99368
220.0,221.21362
221.00002,222.34512
222.0,224.3285
223.0,224.96538
223.0,225.50323
224.0,226.08664
224.0,224.9079
224.0,224.77138
209.0,210.3551
196.40001,202.20306
196.40001,202.96457
207.79999,204.03867
200.8,205.87761
218.0,209.50418
218.0,211.00557
217.0,211.67438
216.0,211.39014
216.0,210.0753
217.00002,210.017
218.0,211.35965
218.0,212.879
219.0,215.33011
220.0,218.64902
220.0,220.38182
221.00002,220.7124
222.0,223.62148
223.0,223.73546
223.0,225.54657
224.0,225.51317
224.0,224.7753
224.0,224.51367
224.0,224.02225
196.40001,197.44127
196.40001,197.87279
207.79999,203.02063
200.8,209.13878
218.0,213.83936
218.0,214.76154
217.0,213.11453
216.0,210.93036
216.0,209.8348
217.00002,209.7248
218.0,211.51091
218.0,213.44124
219.0,215.89505
220.0,218.84114
220.0,219.9153
221.00002,219.63657
222.0,222.07404
223.0,222.83752
223.0,224.3575
224.0,225.58704
224.0,224.5185
224.0,225.7822
224.0,224.78831
239.0,224.05637
196.40001,198.17342
207.79999,201.82706
200.8,207.70917
218.0,213.22237
218.0,215.04825
217.0,213.99841
216.0,212.6568
216.0,210.95872
217.00002,211.00037
218.0,212.20665
218.0,213.53192
219.0,216.53313
220.0,218.46182
220.0,218.46199
221.00002,218.9088
222.0,220.9291
223.0,222.18793
223.0,224.28545
224.0,225.86806
224.0,225.50339
224.0,224.97409
224.0,224.66397
239.0,223.3012
224.0,222.8106
207.79999,204.27269
200.8,208.41812
218.0,213.30301
218.0,215.43654
217.0,214.28326
216.0,214.0645
216.0,212.54045
217.00002,212.84364
218.0,213.68706
218.0,215.10002
219.0,216.1956
220.0,218.30835
220.0,218.6334
221.00002,218.03487
222.0,219.82808
223.0,221.49043
223.0,223.17856
224.0,225.35698
224.0,225.30641
224.0,225.58673
224.0,224.93463
239.0,223.50133
224.0,222.21227
223.0,222.4182
200.8,206.2489
218.0,212.64769
218.0,215.0732
217.0,215.03915
216.0,213.96815
216.0,213.29121
217.00002,214.03255
218.0,214.61601
218.0,216.34943
219.0,217.87054
220.0,218.57556
220.0,219.31476
221.00002,218.7301
222.0,219.36467
223.0,220.49554
223.0,222.52824
224.0,224.70721
224.0,225.2756
224.0,225.44615
224.0,225.16887
239.0,223.75476
224.0,222.99303
223.0,221.76875
223.0,222.27948
218.0,218.21704
218.0,212.6487
217.0,212.11893
216.0,214.22977
216.0,212.37636
217.00002,213.74858
218.0,214.5101
218.0,216.87076
219.0,219.58057
220.0,220.18396
220.0,220.32693
221.00002,219.31554
222.0,219.7406
223.0,219.70445
223.0,222.5704
224.0,224.41986
224.0,225.10945
224.0,226.5055
224.0,224.47209
239.0,224.27937
224.0,222.27953
223.0,222.56073
223.0,222.04184
223.0,223.74883
218.0,213.85289
217.0,213.84288
216.0,214.48776
216.0,212.7923
217.00002,212.29744
218.0,213.87848
218.0,216.7482
219.0,219.62762
220.0,220.69525
220.0,221.12384
221.00002,219.8074
222.0,220.44627
223.0,219.32074
223.0,222.48328
224.0,224.2095
224.0,224.77625
224.0,226.73114
224.0,224.81638
239.0,224.67325
224.0,222.53157
223.0,221.9639
223.0,222.67172
223.0,223.10236
222.0,224.49269
217.0,212.0731
216.0,215.49551
216.0,212.98666
217.00002,213.46849
218.0,214.2419
218.0,216.79645
219.0,219.24864
220.0,220.9325
220.0,221.29848
221.00002,220.08026
222.0,220.31104
223.0,219.82574
223.0,222.33975
224.0,224.17665
224.0,224.49619
224.0,225.78581
224.0,224.86745
239.0,223.74492
224.0,222.84407
223.0,222.43849
223.0,222.35722
223.0,223.43192
222.0,223.88011
222.0,224.88062
216.0,215.11295
216.0,215.17363
217.00002,214.07555
218.0,214.07135
218.0,215.57848
219.0,218.56528
220.0,220.76878
220.0,221.72366
221.00002,220.56921
222.0,220.35986
223.0,219.4885
223.0,222.23305
224.0,224.55995
224.0,224.69324
224.0,225.29462
224.0,224.38054
239.0,222.65567
224.0,222.62645
223.0,222.69263
223.0,223.18806
223.0,223.75772
222.0,224.49971
222.0,224.14317
223.0,224.62823
216.0,216.58746
217.00002,215.29027
218.0,214.99495
218.0,215.93523
219.0,217.55473
220.0,220.14792
220.0,221.43906
221.00002,221.40765
222.0,220.4129
223.0,220.11604
223.0,221.79459
224.0,224.47221
224.0,225.79254
224.0,225.61592
224.0,224.66385
239.0,222.45515
224.0,221.44847
223.0,221.4716
223.0,222.46461
223.0,223.79776
222.0,223.86205
222.0,224.87946
223.0,224.03877
223.0,224.43556
217.00002,216.23926
218.0,218.5601
218.0,218.40027
219.0,217.30165
220.0,217.10085
220.0,220.09212
221.00002,221.71384
222.0,220.84036
223.0,221.27606
223.0,222.85649
224.0,224.63647
224.0,225.98334
224.0,226.20334
224.0,224.85368
239.0,223.0029
224.0,221.42902
223.0,220.40488
223.0,221.1339
223.0,223.2607
222.0,224.11647
222.0,223.66331
223.0,224.3054
223.0,223.54973
225.0,224.46188
218.0,217.77092
218.0,218.94543
219.0,219.20409
220.0,219.26607
220.0,220.04979
221.00002,221.53249
222.0,220.60976
223.0,221.07231
223.0,222.86542
224.0,225.11317
224.0,226.18362
224.0,226.12962
224.0,225.05278
239.0,223.14667
224.0,221.30388
223.0,220.50272
223.0,220.48659
223.0,222.54135
222.0,223.5278
222.0,223.98906
223.0,223.78195
223.0,224.0823
225.0,224.23174
224.0,224.92415
218.0,219.67104
219.0,219.06056
220.0,219.70001
220.0,221.35474
221.00002,221.48346
222.0,220.99094
223.0,221.50017
223.0,222.8603
224.0,224.90047
224.0,226.0082
224.0,225.87054
224.0,224.30801
239.0,222.98888
224.0,221.36447
223.0,220.65309
223.0,221.11366
223.0,222.4072
222.0,223.9619
222.0,223.49849
223.0,223.83482
223.0,222.98082
225.0,224.37111
224.0,224.02199
224.0,224.0409
219.0,220.04117
220.0,219.22052
220.0,220.98792
221.00002,221.65874
222.0,220.95692
223.0,222.18257
223.0,223.53275
224.0,225.45917
224.0,225.61465
224.0,225.73198
224.0,224.61493
239.0,223.29639
224.0,221.80603
223.0,220.9297
223.0,221.25775
223.0,222.67268
222.0,223.97615
222.0,223.15036
223.0,223.18347
223.0,222.7477
225.0,223.09265
224.0,223.9285
224.0,222.87038
225.0,223.05206
220.0,220.39384
220.0,221.01694
221.00002,221.54903
222.0,221.0606
223.0,221.48438
223.0,223.51842
224.0,225.46826
224.0,225.40282
224.0,225.69435
224.0,225.23187
239.0,223.85152
224.0,222.57884
223.0,221.72546
223.0,221.66364
223.0,222.50658
222.0,223.705
222.0,223.26534
223.0,222.95346
223.0,222.74696
225.0,222.82664
224.0,222.78488
224.0,222.97643
225.0,222.24031
224.0,222.45409
220.0,222.24174
221.00002,221.13774
222.0,220.8864
223.0,221.62195
223.0,222.60728
224.0,224.78369
224.0,224.93175
224.0,225.65631
224.0,225.3154
239.0,224.66855
224.0,223.10512
223.0,221.97755
223.0,222.10214
223.0,222.61234
222.0,223.5888
222.0,223.23679
223.0,222.72392
223.0,222.86981
225.0,222.75847
224.0,222.98378
224.0,222.43347
225.0,222.27106
224.0,222.27235
224.0,222.50839
221.00002,223.3821
222.0,220.17738
223.0,220.65704
223.0,222.40723
224.0,223.89134
224.0,224.62393
224.0,225.35281
224.0,225.46045
239.0,224.7618
224.0,224.06642
223.0,223.13031
223.0,222.69101
223.0,223.22354
222.0,223.54163
222.0,223.1623
223.0,222.57382
223.0,222.51993
225.0,222.45467
224.0,222.64296
224.0,222.92053
225.0,222.08934
224.0,222.59512
224.0,222.35963
224.00002,222.13618
222.0,222.16922
223.0,221.04704
223.0,222.59009
224.0,223.98445
224.0,224.3016
224.0,225.44524
224.0,225.5113
239.0,224.73323
224.0,224.1212
223.0,223.36127
223.0,222.73508
223.0,223.02821
222.0,223.70177
222.0,222.95613
223.0,222.75677
223.0,222.48978
225.0,222.6202
224.0,222.59302
224.0,222.90633
225.0,222.853
224.0,222.3987
224.0,222.86214
224.00002,221.99359
224.0,222.19641
223.0,220.8863
223.0,222.92407
224.0,224.22719
224.0,224.60815
224.0,225.13673
224.0,225.36783
239.0,224.92711
224.0,223.93204
223.0,223.37938
223.0,223.03305
223.0,222.39288
222.0,223.0303
222.0,223.15797
223.0,222.4079
223.0,222.45554
225.0,222.65826
224.0,222.81961
224.0,223.19603
225.0,223.30615
224.0,223.44687
224.0,223.04486
224.00002,222.92415
224.0,222.39774
224.0,222.60603
223.0,221.41933
224.0,224.3317
224.0,225.23813
224.0,225.6955
224.0,225.4423
239.0,224.9228
