Actual,Predicted
220.00002,221.2373
220.0,212.99336
195.8,208.3054
209.0,206.94061
196.40001,207.3065
196.40001,206.35971
207.79999,207.27943
200.8,208.21721
218.0,209.10034
218.0,208.1148
217.0,208.386
216.0,210.52995
216.0,210.79979
217.00002,213.30089
218.0,212.5911
218.0,214.4564
219.0,214.9925
220.0,215.5635
220.0,216.19118
221.00002,218.11884
222.0,218.794
223.0,220.18465
223.0,222.13133
224.0,222.01018
220.0,213.4959
195.8,208.29408
209.0,205.78409
196.40001,205.82686
196.40001,206.03392
207.79999,207.74539
200.8,208.23657
218.0,208.46283
218.0,208.83293
217.0,207.9057
216.0,208.95575
216.0,209.98447
217.00002,211.90767
218.0,211.17857
218.0,214.0313
219.0,215.02193
220.0,216.64395
220.0,216.80658
221.00002,218.80518
222.0,220.27164
223.0,221.64085
223.0,222.15645
224.0,222.90555
224.0,223.4072
195.8,205.0767
209.0,205.41794
196.40001,203.94958
196.40001,203.44406
207.79999,207.46097
200.8,208.39046
218.0,209.51718
218.0,209.52545
217.0,210.01291
216.0,210.28458
216.0,209.90295
217.00002,211.82591
218.0,211.46033
218.0,213.95302
219.0,214.97253
220.0,215.71056
220.0,217.00397
221.00002,218.62555
222.0,219.50984
223.0,221.88487
223.0,221.93086
224.0,223.02065
224.0,224.23074
224.0,224.54976
209.0,208.94089
196.40001,202.43555
196.40001,201.8447
207.79999,204.71082
200.8,207.19826
218.0,208.76349
218.0,209.84038
217.0,211.77185
216.0,212.89935
216.0,212.40982
217.00002,213.57072
218.0,213.69492
218.0,214.6007
219.0,215.16356
220.0,215.7118
220.0,216.77206
221.00002,218.89355
222.0,219.0043
223.0,220.33235
223.0,220.71054
224.0,221.44168
224.0,222.86382
224.0,224.1066
224.0,224.77638
196.40001,199.86803
196.40001,200.1515
207.79999,204.04193
200.8,207.598
218.0,211.1985
218.0,211.57185
217.0,212.51689
216.0,212.81117
216.0,214.22015
217.00002,215.148
218.0,214.75034
218.0,216.42178
219.0,215.55618
220.0,215.77571
220.0,216.06224
221.00002,216.89409
222.0,217.78925
223.0,218.62425
223.0,220.03987
224.0,221.68596
224.0,222.45203
224.0,222.88155
224.0,225.1182
239.0,225.69159
196.40001,198.89139
207.79999,204.61705
200.8,209.0885
218.0,213.10606
218.0,214.51299
217.0,215.14343
216.0,213.62898
216.0,214.39722
217.00002,216.7956
218.0,215.52522
218.0,216.91994
219.0,216.25171
220.0,215.2952
220.0,213.89915
221.00002,215.41483
222.0,215.57538
223.0,217.28333
223.0,218.93575
224.0,221.0696
224.0,222.95934
224.0,224.16522
224.0,225.8024
239.0,226.31534
224.0,226.64304
207.79999,206.23402
200.8,210.11809
218.0,214.38805
218.0,214.64044
217.0,216.48506
216.0,215.90907
216.0,216.14305
217.00002,218.2418
218.0,217.90845
218.0,218.35487
219.0,216.0867
220.0,216.45895
220.0,214.75372
221.00002,215.0476
222.0,214.56566
223.0,215.53186
223.0,217.69641
224.0,218.8229
224.0,221.07867
224.0,223.18779
224.0,224.61226
239.0,226.03587
224.0,227.55386
223.0,225.9638
200.8,208.67737
218.0,214.9479
218.0,216.49219
217.0,217.7836
216.0,216.56718
216.0,216.22531
217.00002,218.18173
218.0,217.82323
218.0,219.38995
219.0,217.28636
220.0,216.66307
220.0,215.75589
221.00002,216.00687
222.0,216.12294
223.0,216.99074
223.0,216.91133
224.0,218.69124
224.0,219.87624
224.0,222.15025
224.0,224.43684
239.0,225.15141
224.0,225.66661
223.0,225.05711
223.0,225.43292
218.0,215.94398
218.0,215.585
217.0,216.99144
216.0,216.25539
216.0,216.90614
217.00002,217.90906
218.0,216.42104
218.0,218.87013
219.0,218.2081
220.0,217.46593
220.0,215.84918
221.00002,216.69312
222.0,216.29652
223.0,217.2777
223.0,219.11763
224.0,219.60742
224.0,222.22023
224.0,222.49081
224.0,225.34468
239.0,225.65704
224.0,226.01237
223.0,224.69017
223.0,224.50371
223.0,223.02313
218.0,215.71872
217.0,215.0495
216.0,214.09418
216.0,213.55626
217.00002,215.72238
218.0,214.70917
218.0,217.65744
219.0,219.13379
220.0,220.37234
220.0,218.51988
221.00002,218.81932
222.0,219.35858
223.0,218.97906
223.0,219.70628
224.0,220.34103
224.0,220.83638
224.0,222.46982
224.0,223.99226
239.0,224.10362
224.0,225.02243
223.0,223.51001
223.0,222.52527
223.0,222.14528
222.0,221.63263
217.0,212.58661
216.0,213.70163
216.0,212.46928
217.00002,213.75955
218.0,215.38414
218.0,218.23428
219.0,218.16864
220.0,219.60588
220.0,219.15555
221.00002,219.87761
222.0,219.04674
223.0,220.22433
223.0,219.85115
224.0,220.58054
224.0,221.55357
224.0,222.1507
224.0,223.72607
239.0,223.54337
224.0,223.52649
223.0,223.31596
223.0,222.7071
223.0,222.01799
222.0,222.0847
222.0,222.00006
216.0,215.01169
216.0,212.0399
217.00002,213.73805
218.0,214.65546
218.0,218.33902
219.0,218.55067
220.0,218.7277
220.0,219.37964
221.00002,220.55406
222.0,219.90509
223.0,219.47144
223.0,219.90889
224.0,219.95805
224.0,221.32619
224.0,222.68239
224.0,223.58421
239.0,224.31418
224.0,223.75816
223.0,223.38702
223.0,223.29512
223.0,222.37137
222.0,221.13065
222.0,222.13095
223.0,221.02426
216.0,215.1066
217.00002,215.77206
218.0,215.50146
218.0,217.58734
219.0,218.01367
220.0,219.31128
220.0,218.03705
221.00002,219.78929
222.0,219.96555
223.0,219.52162
223.0,219.68077
224.0,221.1543
224.0,222.03409
224.0,222.41467
224.0,224.27826
239.0,224.47993
224.0,225.23488
223.0,223.5217
223.0,223.1838
223.0,222.78592
222.0,222.11253
222.0,221.97676
223.0,220.63014
223.0,220.28412
217.00002,216.93266
218.0,216.98859
218.0,218.77109
219.0,217.13509
220.0,219.51437
220.0,217.96873
221.00002,219.37346
222.0,219.18762
223.0,219.45859
223.0,219.50356
224.0,220.22368
224.0,222.0782
224.0,223.62762
224.0,225.63177
239.0,225.65944
224.0,225.17003
223.0,224.70062
223.0,223.42442
223.0,222.47589
222.0,222.19997
222.0,221.40756
223.0,220.11633
223.0,220.34859
225.0,219.70886
218.0,218.25327
218.0,219.04987
219.0,217.66164
220.0,218.90982
220.0,219.40607
221.00002,220.38747
222.0,218.86438
223.0,219.21127
223.0,220.24272
224.0,219.72572
224.0,220.92415
224.0,223.25177
224.0,224.17078
239.0,225.52274
224.0,226.02727
223.0,224.08986
223.0,224.07033
223.0,222.37804
222.0,221.83269
222.0,221.43092
223.0,220.57845
223.0,220.1879
225.0,219.47156
224.0,219.04657
218.0,220.59006
219.0,217.58405
220.0,218.70605
220.0,218.4532
221.00002,220.73878
222.0,220.26328
223.0,219.88486
223.0,219.80713
224.0,220.89774
224.0,221.64854
224.0,222.95677
224.0,224.87453
239.0,225.0252
224.0,225.22226
223.0,223.53413
223.0,223.11763
223.0,222.21657
222.0,220.52261
222.0,221.27731
223.0,220.29333
223.0,220.13168
225.0,219.44463
