Actual,Predicted
220.00002,222.37164
220.0,214.96416
195.8,210.5066
209.0,209.67438
196.40001,209.40498
196.40001,209.37596
207.79999,211.18318
200.8,211.53087
218.0,209.91121
218.0,208.91837
217.0,209.76833
216.0,210.5316
220.0,215.8087
195.8,210.37259
209.0,207.88435
196.40001,207.8028
196.40001,207.95927
207.79999,209.05331
200.8,210.47208
218.0,210.58931
218.0,208.94095
217.0,209.38786
216.0,211.37222
216.0,212.29202
195.8,207.49133
209.0,206.80812
196.40001,206.0075
196.40001,206.10771
207.79999,208.52359
200.8,209.30725
218.0,210.71481
218.0,210.61368
217.0,210.92902
216.0,211.84738
216.0,213.63058
217.00002,214.74698
209.0,210.2266
196.40001,206.37595
196.40001,205.84409
207.79999,208.01717
200.8,208.56323
218.0,209.39899
218.0,211.10454
217.0,213.05135
216.0,212.433
216.0,213.30687
217.00002,215.11722
218.0,214.6521
196.40001,202.93747
196.40001,204.48962
207.79999,207.36285
200.8,209.97763
218.0,211.81238
218.0,211.9927
217.0,214.31657
216.0,213.91211
216.0,213.73578
217.00002,215.01935
218.0,215.72339
218.0,216.87729
196.40001,201.82489
207.79999,206.84692
200.8,211.14777
218.0,214.17798
218.0,214.27718
217.0,214.52101
216.0,214.50905
216.0,215.59958
217.00002,216.20316
218.0,216.99936
218.0,219.9887
219.0,219.22684
207.79999,206.80948
200.8,211.21686
218.0,215.06958
218.0,215.7554
217.0,215.24731
216.0,213.85587
216.0,215.19229
217.00002,217.17403
218.0,217.69133
218.0,220.73927
219.0,221.04108
220.0,220.06116
200.8,210.98271
218.0,216.49443
218.0,217.24835
217.0,216.87988
216.0,214.55064
216.0,214.80403
217.00002,216.84143
218.0,218.77856
218.0,220.76862
219.0,219.88599
220.0,219.82681
220.0,218.30968
218.0,218.25798
218.0,216.3742
217.0,216.6564
216.0,216.8717
216.0,217.40726
217.00002,217.55139
218.0,218.6514
218.0,221.02931
219.0,219.38127
220.0,219.43765
220.0,218.97299
221.00002,218.8334
218.0,216.11949
217.0,217.81123
216.0,217.41034
216.0,217.65321
217.00002,218.18979
218.0,217.92441
218.0,221.09329
219.0,220.12088
220.0,219.91884
220.0,218.79709
221.00002,220.44633
222.0,219.31738
217.0,215.79427
216.0,216.97324
216.0,216.49533
217.00002,217.45026
218.0,218.1631
218.0,220.16731
219.0,220.56253
220.0,221.7575
220.0,220.34111
221.00002,221.1801
222.0,221.386
223.0,221.97011
216.0,218.57825
216.0,216.55148
217.00002,216.383
218.0,217.979
218.0,220.43811
219.0,220.36787
220.0,222.71024
220.0,222.94466
221.00002,222.8193
222.0,221.84465
223.0,222.73979
223.0,221.54759
216.0,218.9326
217.00002,217.58824
218.0,218.14084
218.0,221.45927
219.0,221.62535
220.0,222.3182
220.0,222.75723
221.00002,223.77324
222.0,221.58992
223.0,222.12119
223.0,222.35426
224.0,222.38028
217.00002,220.16884
218.0,220.68147
218.0,221.78812
219.0,220.4015
220.0,221.47253
220.0,221.51962
221.00002,223.54036
222.0,222.92694
223.0,222.56566
223.0,221.90471
224.0,223.20242
224.0,223.66783
218.0,220.94023
218.0,221.90132
219.0,219.79881
220.0,221.43259
220.0,221.91328
221.00002,223.14978
222.0,223.05556
223.0,223.9382
223.0,222.01472
224.0,222.92027
224.0,224.45554
224.0,225.34312
218.0,222.09799
219.0,220.54752
220.0,221.53612
220.0,222.9513
221.00002,224.35643
222.0,222.68735
223.0,223.88849
223.0,223.22923
224.0,223.11383
224.0,224.16336
224.0,226.35036
224.0,227.26704
219.0,221.46053
220.0,222.2593
220.0,223.54509
221.00002,225.25
222.0,223.65129
223.0,223.55354
223.0,223.49736
224.0,224.67441
224.0,224.56929
224.0,225.8372
224.0,227.4941
239.0,228.04309
220.0,222.9007
220.0,224.40799
221.00002,225.741
222.0,225.37549
223.0,225.14082
223.0,223.69151
224.0,225.19339
224.0,225.8517
224.0,225.92993
224.0,226.73883
239.0,228.39748
224.0,227.34016
220.0,224.22083
221.00002,225.52379
222.0,225.19557
223.0,226.29227
223.0,225.65625
224.0,225.41527
224.0,226.0371
224.0,227.0655
224.0,227.17453
239.0,227.87991
224.0,227.72948
223.0,226.37569
221.00002,225.79556
222.0,224.4357
223.0,225.54604
223.0,226.63101
224.0,226.66847
224.0,226.21289
224.0,227.45811
224.0,228.76341
239.0,227.791
224.0,227.67119
223.0,227.28421
223.0,226.09776
222.0,224.83936
223.0,225.64793
223.0,226.33788
224.0,227.4
224.0,227.5698
224.0,227.11302
224.0,228.73343
239.0,229.27216
224.0,227.75528
223.0,226.35858
223.0,226.65555
223.0,225.1805
223.0,225.13034
223.0,226.4175
224.0,227.222
224.0,227.98358
224.0,227.86572
224.0,228.33751
239.0,229.203
224.0,228.7598
223.0,226.21194
223.0,225.91795
223.0,225.4139
222.0,223.75653
223.0,225.53748
224.0,226.90242
224.0,227.33649
224.0,228.33543
224.0,229.25818
239.0,228.57603
224.0,228.25702
223.0,227.34612
223.0,226.11899
223.0,224.93234
222.0,224.80046
222.0,224.31668
224.0,227.16333
224.0,226.97495
224.0,227.8206
224.0,229.60922
239.0,229.5081
224.0,227.77522
223.0,227.15787
223.0,226.55138
223.0,224.75037
222.0,224.0501
222.0,224.88715
223.0,223.69461
224.0,226.78598
224.0,228.40706
224.0,230.15576
239.0,230.68379
224.0,228.7505
223.0,226.45404
223.0,226.25917
223.0,225.54172
222.0,223.7147
222.0,223.87419
223.0,224.12962
223.0,224.10027
224.0,228.07243
224.0,230.59944
239.0,230.8328
224.0,229.81091
223.0,227.79471
223.0,225.73895
223.0,224.98935
222.0,224.53973
222.0,223.5762
223.0,223.36333
223.0,224.68501
225.0,224.45494
224.0,231.08844
239.0,231.72984
224.0,230.38016
223.0,228.45013
223.0,226.78333
223.0,225.05025
222.0,224.8492
222.0,225.00963
223.0,223.61784
223.0,224.01207
225.0,225.46959
224.0,225.40907
239.0,233.76456
224.0,229.89372
223.0,228.52594
223.0,228.20657
223.0,226.49194
222.0,224.80275
222.0,224.67146
223.0,224.57135
223.0,223.62067
225.0,224.76776
224.0,225.62103
224.0,225.74936
224.0,226.4055
223.0,227.89297
223.0,228.16757
223.0,226.60652
222.0,224.82538
222.0,223.99379
223.0,224.13326
223.0,224.043
225.0,224.17468
224.0,224.47075
224.0,226.54507
225.0,224.38106
223.0,228.79112
223.0,228.04419
223.0,225.7031
222.0,225.29657
222.0,224.80278
223.0,223.59529
223.0,223.79439
225.0,225.1657
224.0,224.3479
224.0,225.62512
225.0,224.41492
224.0,225.25624
223.0,229.416
223.0,227.28947
222.0,226.1712
222.0,224.86533
223.0,223.19406
223.0,223.29868
225.0,225.44467
224.0,225.82272
224.0,224.87329
225.0,223.34688
224.0,225.51259
224.0,225.13905
223.0,228.4756
222.0,226.32729
222.0,224.84673
223.0,224.9606
223.0,224.33723
225.0,224.83617
224.0,225.67206
224.0,225.75807
225.0,223.20976
224.0,224.1944
224.0,225.05289
224.00002,224.59174
222.0,225.5287
222.0,224.98558
223.0,225.37029
223.0,225.88799
225.0,226.1311
224.0,225.41687
224.0,225.78528
225.0,224.32323
224.0,224.07103
224.0,224.50291
224.00002,224.94835
224.0,224.42207
222.0,223.95833
223.0,225.40475
223.0,225.45909
225.0,226.52463
224.0,226.08081
224.0,225.93486
225.0,224.96913
224.0,225.81754
224.0,224.78688
224.00002,224.49731
224.0,225.15244
224.0,225.03285
223.0,224.6324
223.0,225.2402
225.0,226.65627
224.0,227.11325
224.0,226.78226
225.0,224.45074
224.0,225.1765
224.0,225.68909
224.00002,224.7917
224.0,224.5123
224.0,225.73181
224.0,225.93382
223.0,224.83325
225.0,226.57271
224.0,227.37039
224.0,227.8598
225.0,225.8104
224.0,224.8026
224.0,225.15463
224.00002,225.5352
224.0,224.21252
224.0,224.8154
224.0,226.07762
224.0,225.25363
225.0,226.56076
224.0,226.57558
224.0,227.84946
225.0,227.31706
224.0,226.6393
224.0,225.10431
224.00002,224.94798
224.0,224.79016
224.0,224.55241
224.0,225.32336
224.0,225.63365
224.0,224.4051
224.0,226.41336
224.0,228.28917
225.0,227.26613
224.0,227.53236
224.0,226.2315
224.00002,224.30138
224.0,224.43878
224.0,225.42229
224.0,224.89522
224.0,224.69237
224.0,225.1031
223.0,224.59827
224.0,227.74907
225.0,227.07008
224.0,227.81352
224.0,227.35217
224.00002,226.02249
224.0,224.3003
224.0,224.45938
224.0,225.8234
224.0,224.82867
224.0,224.19809
223.0,225.13365
221.00002,224.05354
225.0,227.93658
224.0,227.68633
224.0,227.41104
224.00002,227.48357
224.0,225.64655
224.0,224.65787
224.0,225.5943
224.0,225.45647
224.0,223.94437
223.0,224.58022
221.00002,224.2847
220.0,223.81827
224.0,228.12143
