Stage,Model,Time_s,Unit
Training,NLinear,0.8760065714518229,s/epoch
Inference,NLinear,0.004969756965452097,ms/sample
Training,DLinear,0.9468853950500489,s/epoch
Inference,DLinear,0.009837856195719662,ms/sample
Training,CALinear,1.298716910680135,s/epoch
Inference,CALinear,0.010765285223177361,ms/sample
Training,CALinear,1.3125888506571453,s/epoch
Inference,CALinear,0.01502491229291463,ms/sample
Training,CALinear,1.358997901280721,s/epoch
Inference,CALinear,0.011304018656768743,ms/sample
Training,CALinear,1.3009474595387778,s/epoch
Inference,CALinear,0.01090439824022625,ms/sample
Multi-Horizon,CALinear,62.91659593582153,s/total
Training,Ablation-Baseline,0.6909570535024007,s/epoch
Training,Ablation-+Features,1.1736422697703044,s/epoch
Training,Ablation-+EventLoss,0.7834567705790202,s/epoch
Training,Ablation-Full,1.2889471530914307,s/epoch
Training,Alpha-1.0,1.2955928643544514,s/epoch
Training,Alpha-3.0,1.2585779825846355,s/epoch
Training,Alpha-5.0,1.3052244504292807,s/epoch
Training,NLinear,0.7857820192972819,s/epoch
Inference,NLinear,0.004907713291492868,ms/sample
XAI,NLinear,7.105112075805664,ms/sample
Training,DLinear,0.9403800964355469,s/epoch
Inference,DLinear,0.01004044579765431,ms/sample
XAI,DLinear,11.751890182495117,ms/sample
Training,CALinear,1.3078066825866699,s/epoch
Inference,CALinear,0.010484426980055995,ms/sample
XAI,CALinear,11.362075805664062,ms/sample
